date,region,product_id,product_name,units_sold,unit_price,total_sales,salesperson
2025-01-07,East,3,Gamma Tool,2,50.0,100.0,Alice
2025-01-08,East,2,Beta Gadget,8,35.0,280.0,Charlie
2025-01-08,North,2,Beta Gadget,4,35.0,140.0,Diana
2025-01-08,East,3,Gamma Tool,16,50.0,800.0,Diana
2025-01-08,West,3,Gamma Tool,1,50.0,50.0,Alice
2025-01-08,West,2,Beta Gadget,19,35.0,665.0,Diana
2025-01-08,East,2,Beta Gadget,15,35.0,525.0,Diana
2025-01-08,North,1,Alpha Widget,1,20.0,20.0,Diana
2025-01-08,East,2,Beta Gadget,12,35.0,420.0,Diana
2025-01-08,East,1,Alpha Widget,11,20.0,220.0,Diana
2025-01-09,East,2,Beta Gadget,8,35.0,280.0,Diana
2025-01-09,West,3,Gamma Tool,14,50.0,700.0,Alice
2025-01-09,East,2,Beta Gadget,2,35.0,70.0,Bob
2025-01-09,West,2,Beta Gadget,17,35.0,595.0,Alice
2025-01-09,West,3,Gamma Tool,9,50.0,450.0,Charlie
2025-01-09,South,2,Beta Gadget,4,35.0,140.0,Diana
2025-01-10,North,2,Beta Gadget,2,35.0,70.0,Alice
2025-01-10,East,3,Gamma Tool,10,50.0,500.0,Bob
2025-01-10,East,1,Alpha Widget,17,20.0,340.0,Alice
2025-01-10,North,1,Alpha Widget,19,20.0,380.0,Bob
2025-01-10,East,2,Beta Gadget,11,35.0,385.0,Diana
2025-01-10,South,2,Beta Gadget,18,35.0,630.0,Bob
2025-01-10,West,2,Beta Gadget,16,35.0,560.0,Bob
2025-01-11,East,1,Alpha Widget,11,20.0,220.0,Diana
2025-01-11,East,1,Alpha Widget,11,20.0,220.0,Charlie
2025-01-11,East,2,Beta Gadget,11,35.0,385.0,Bob
2025-01-11,South,1,Alpha Widget,14,20.0,280.0,Bob
2025-01-11,South,3,Gamma Tool,13,50.0,650.0,Alice
2025-01-11,East,1,Alpha Widget,9,20.0,180.0,Alice
2025-01-11,North,3,Gamma Tool,10,50.0,500.0,Charlie
2025-01-12,East,1,Alpha Widget,11,20.0,220.0,Diana
2025-01-12,South,1,Alpha Widget,19,20.0,380.0,Diana
2025-01-12,East,3,Gamma Tool,15,50.0,750.0,Diana
2025-01-12,South,1,Alpha Widget,3,20.0,60.0,Diana
2025-01-12,South,1,Alpha Widget,11,20.0,220.0,Alice
2025-01-12,South,1,Alpha Widget,9,20.0,180.0,Bob
2025-01-13,South,3,Gamma Tool,8,50.0,400.0,Alice
2025-01-13,South,1,Alpha Widget,16,20.0,320.0,Bob
2025-01-13,South,1,Alpha Widget,19,20.0,380.0,Diana
2025-01-13,South,2,Beta Gadget,10,35.0,350.0,Charlie
2025-01-13,East,3,Gamma Tool,4,50.0,200.0,Charlie
2025-01-13,South,2,Beta Gadget,19,35.0,665.0,Alice
2025-01-13,East,1,Alpha Widget,7,20.0,140.0,Alice
2025-01-13,West,3,Gamma Tool,13,50.0,650.0,Charlie
2025-01-14,East,2,Beta Gadget,1,35.0,35.0,Bob
2025-01-14,North,2,Beta Gadget,1,35.0,35.0,Alice
2025-01-14,North,2,Beta Gadget,18,35.0,630.0,Bob
2025-01-14,East,3,Gamma Tool,16,50.0,800.0,Alice
2025-01-14,West,3,Gamma Tool,4,50.0,200.0,Charlie
2025-01-14,South,3,Gamma Tool,2,50.0,100.0,Charlie
2025-01-14,South,1,Alpha Widget,15,20.0,300.0,Diana
2025-01-14,South,1,Alpha Widget,17,20.0,340.0,Charlie
2025-01-15,North,2,Beta Gadget,8,35.0,280.0,Bob
2025-01-15,South,2,Beta Gadget,13,35.0,455.0,Alice
2025-01-15,South,3,Gamma Tool,19,50.0,950.0,Alice
2025-01-15,South,1,Alpha Widget,11,20.0,220.0,Charlie
2025-01-15,North,1,Alpha Widget,8,20.0,160.0,Charlie
2025-01-15,South,3,Gamma Tool,7,50.0,350.0,Diana
2025-01-15,South,2,Beta Gadget,9,35.0,315.0,Bob
2025-01-16,South,3,Gamma Tool,15,50.0,750.0,Alice
2025-01-16,South,3,Gamma Tool,2,50.0,100.0,Diana
2025-01-16,North,1,Alpha Widget,5,20.0,100.0,Charlie
2025-01-16,South,2,Beta Gadget,3,35.0,105.0,Charlie
2025-01-16,North,3,Gamma Tool,14,50.0,700.0,Alice
2025-01-16,West,2,Beta Gadget,18,35.0,630.0,Alice
2025-01-16,East,2,Beta Gadget,18,35.0,630.0,Bob
2025-01-16,South,2,Beta Gadget,4,35.0,140.0,Alice
2025-01-17,West,1,Alpha Widget,14,20.0,280.0,Bob
2025-01-17,North,1,Alpha Widget,15,20.0,300.0,Charlie
2025-01-17,West,1,Alpha Widget,6,20.0,120.0,Charlie
2025-01-17,East,2,Beta Gadget,12,35.0,420.0,Alice
2025-01-17,East,2,Beta Gadget,9,35.0,315.0,Alice
2025-01-17,West,1,Alpha Widget,14,20.0,280.0,Bob
2025-01-17,East,3,Gamma Tool,2,50.0,100.0,Bob
2025-01-17,West,1,Alpha Widget,12,20.0,240.0,Charlie
2025-01-17,South,3,Gamma Tool,2,50.0,100.0,Charlie
2025-01-18,East,3,Gamma Tool,17,50.0,850.0,Charlie
2025-01-18,South,2,Beta Gadget,12,35.0,420.0,Alice
2025-01-18,South,1,Alpha Widget,3,20.0,60.0,Charlie
2025-01-18,East,1,Alpha Widget,16,20.0,320.0,Alice
2025-01-18,North,2,Beta Gadget,10,35.0,350.0,Bob
2025-01-19,East,3,Gamma Tool,1,50.0,50.0,Diana
2025-01-19,West,1,Alpha Widget,4,20.0,80.0,Bob
2025-01-19,West,3,Gamma Tool,8,50.0,400.0,Alice
2025-01-19,North,2,Beta Gadget,6,35.0,210.0,Bob
2025-01-19,East,3,Gamma Tool,7,50.0,350.0,Diana
2025-01-19,South,2,Beta Gadget,2,35.0,70.0,Diana
2025-01-19,West,1,Alpha Widget,9,20.0,180.0,Charlie
2025-01-19,North,3,Gamma Tool,6,50.0,300.0,Bob
2025-01-20,South,3,Gamma Tool,5,50.0,250.0,Bob
2025-01-20,North,3,Gamma Tool,7,50.0,350.0,Diana
2025-01-20,South,1,Alpha Widget,10,20.0,200.0,Alice
2025-01-20,North,3,Gamma Tool,15,50.0,750.0,Charlie
2025-01-20,West,2,Beta Gadget,3,35.0,105.0,Charlie
2025-01-20,North,1,Alpha Widget,7,20.0,140.0,Charlie
2025-01-20,East,2,Beta Gadget,19,35.0,665.0,Alice
2025-01-20,East,2,Beta Gadget,19,35.0,665.0,Charlie
2025-01-21,North,2,Beta Gadget,4,35.0,140.0,Diana
2025-01-21,North,2,Beta Gadget,12,35.0,420.0,Charlie
2025-01-21,South,3,Gamma Tool,11,50.0,550.0,Charlie
2025-01-21,South,2,Beta Gadget,17,35.0,595.0,Bob
2025-01-21,West,3,Gamma Tool,18,50.0,900.0,Bob
2025-01-22,West,3,Gamma Tool,7,50.0,350.0,Bob
2025-01-22,East,1,Alpha Widget,1,20.0,20.0,Diana
2025-01-22,North,3,Gamma Tool,6,50.0,300.0,Bob
2025-01-22,South,2,Beta Gadget,11,35.0,385.0,Charlie
2025-01-22,South,3,Gamma Tool,11,50.0,550.0,Diana
2025-01-22,East,1,Alpha Widget,13,20.0,260.0,Diana
2025-01-22,West,3,Gamma Tool,17,50.0,850.0,Alice
2025-01-22,West,2,Beta Gadget,1,35.0,35.0,Diana
2025-01-23,South,1,Alpha Widget,6,20.0,120.0,Alice
2025-01-23,West,1,Alpha Widget,6,20.0,120.0,Diana
2025-01-23,North,2,Beta Gadget,16,35.0,560.0,Bob
2025-01-23,South,1,Alpha Widget,5,20.0,100.0,Bob
2025-01-23,East,1,Alpha Widget,14,20.0,280.0,Bob
2025-01-23,West,2,Beta Gadget,11,35.0,385.0,Bob
2025-01-23,East,3,Gamma Tool,13,50.0,650.0,Alice
2025-01-24,North,2,Beta Gadget,13,35.0,455.0,Bob
2025-01-24,West,3,Gamma Tool,16,50.0,800.0,Bob
2025-01-24,East,3,Gamma Tool,15,50.0,750.0,Alice
2025-01-24,South,3,Gamma Tool,6,50.0,300.0,Diana
2025-01-24,East,2,Beta Gadget,19,35.0,665.0,Charlie
2025-01-24,South,1,Alpha Widget,6,20.0,120.0,Alice
2025-01-24,East,1,Alpha Widget,8,20.0,160.0,Diana
2025-01-24,East,3,Gamma Tool,6,50.0,300.0,Diana
2025-01-25,South,1,Alpha Widget,14,20.0,280.0,Alice
2025-01-25,South,1,Alpha Widget,9,20.0,180.0,Charlie
2025-01-25,West,1,Alpha Widget,7,20.0,140.0,Diana
2025-01-25,South,3,Gamma Tool,3,50.0,150.0,Charlie
2025-01-25,North,1,Alpha Widget,3,20.0,60.0,Bob
2025-01-25,West,2,Beta Gadget,17,35.0,595.0,Diana
2025-01-26,North,1,Alpha Widget,11,20.0,220.0,Charlie
2025-01-26,North,1,Alpha Widget,8,20.0,160.0,Alice
2025-01-26,South,3,Gamma Tool,7,50.0,350.0,Alice
2025-01-26,South,2,Beta Gadget,18,35.0,630.0,Charlie
2025-01-26,South,1,Alpha Widget,18,20.0,360.0,Alice
2025-01-26,West,3,Gamma Tool,2,50.0,100.0,Alice
2025-01-27,West,1,Alpha Widget,13,20.0,260.0,Alice
2025-01-27,South,1,Alpha Widget,19,20.0,380.0,Bob
2025-01-27,West,1,Alpha Widget,1,20.0,20.0,Charlie
2025-01-27,East,2,Beta Gadget,9,35.0,315.0,Alice
2025-01-27,West,2,Beta Gadget,8,35.0,280.0,Alice
2025-01-28,East,3,Gamma Tool,19,50.0,950.0,Bob
2025-01-28,East,2,Beta Gadget,6,35.0,210.0,Diana
2025-01-28,South,1,Alpha Widget,12,20.0,240.0,Diana
2025-01-28,West,3,Gamma Tool,5,50.0,250.0,Diana
2025-01-28,West,1,Alpha Widget,4,20.0,80.0,Charlie
2025-01-28,North,2,Beta Gadget,3,35.0,105.0,Diana
2025-01-28,East,1,Alpha Widget,15,20.0,300.0,Bob
2025-01-28,North,2,Beta Gadget,8,35.0,280.0,Bob
2025-01-28,East,2,Beta Gadget,4,35.0,140.0,Bob
2025-01-29,South,3,Gamma Tool,10,50.0,500.0,Alice
2025-01-29,North,1,Alpha Widget,8,20.0,160.0,Alice
2025-01-29,North,3,Gamma Tool,11,50.0,550.0,Alice
2025-01-29,East,1,Alpha Widget,5,20.0,100.0,Alice
2025-01-29,North,3,Gamma Tool,3,50.0,150.0,Charlie
2025-01-29,South,2,Beta Gadget,18,35.0,630.0,Alice
2025-01-30,East,2,Beta Gadget,10,35.0,350.0,Charlie
2025-01-30,East,1,Alpha Widget,10,20.0,200.0,Alice
2025-01-30,South,3,Gamma Tool,2,50.0,100.0,Alice
2025-01-30,East,2,Beta Gadget,13,35.0,455.0,Diana
2025-01-30,East,3,Gamma Tool,2,50.0,100.0,Diana
2025-01-30,North,3,Gamma Tool,6,50.0,300.0,Alice
2025-01-30,South,3,Gamma Tool,7,50.0,350.0,Diana
2025-01-31,South,2,Beta Gadget,1,35.0,35.0,Alice
2025-01-31,North,3,Gamma Tool,16,50.0,800.0,Bob
2025-01-31,West,1,Alpha Widget,15,20.0,300.0,Alice
2025-01-31,North,2,Beta Gadget,8,35.0,280.0,Alice
2025-01-31,South,1,Alpha Widget,9,20.0,180.0,Bob
2025-01-31,South,3,Gamma Tool,15,50.0,750.0,Bob
2025-01-31,East,2,Beta Gadget,5,35.0,175.0,Alice
2025-02-01,North,3,Gamma Tool,12,50.0,600.0,Alice
2025-02-01,East,1,Alpha Widget,3,20.0,60.0,Bob
2025-02-01,East,3,Gamma Tool,12,50.0,600.0,Bob
2025-02-01,West,2,Beta Gadget,10,35.0,350.0,Alice
2025-02-01,South,2,Beta Gadget,8,35.0,280.0,Bob
2025-02-01,West,2,Beta Gadget,15,35.0,525.0,Diana
2025-02-02,South,1,Alpha Widget,18,20.0,360.0,Alice
2025-02-02,South,2,Beta Gadget,14,35.0,490.0,Alice
2025-02-02,West,1,Alpha Widget,13,20.0,260.0,Alice
2025-02-02,West,2,Beta Gadget,19,35.0,665.0,Bob
2025-02-02,South,3,Gamma Tool,17,50.0,850.0,Bob
2025-02-02,East,2,Beta Gadget,6,35.0,210.0,Diana
2025-02-03,South,2,Beta Gadget,17,35.0,595.0,Bob
2025-02-03,West,2,Beta Gadget,10,35.0,350.0,Charlie
2025-02-03,South,1,Alpha Widget,19,20.0,380.0,Bob
2025-02-03,South,2,Beta Gadget,5,35.0,175.0,Bob
2025-02-03,South,3,Gamma Tool,14,50.0,700.0,Alice
2025-02-04,West,1,Alpha Widget,5,20.0,100.0,Alice
2025-02-04,West,1,Alpha Widget,12,20.0,240.0,Bob
2025-02-04,West,1,Alpha Widget,7,20.0,140.0,Charlie
2025-02-04,West,1,Alpha Widget,17,20.0,340.0,Diana
2025-02-04,South,3,Gamma Tool,15,50.0,750.0,Alice
2025-02-04,West,3,Gamma Tool,15,50.0,750.0,Diana
2025-02-05,South,2,Beta Gadget,17,35.0,595.0,Alice
2025-02-05,South,3,Gamma Tool,4,50.0,200.0,Alice
2025-02-05,West,1,Alpha Widget,19,20.0,380.0,Charlie
2025-02-05,West,3,Gamma Tool,7,50.0,350.0,Diana
2025-02-05,East,2,Beta Gadget,10,35.0,350.0,Bob
2025-02-05,West,1,Alpha Widget,10,20.0,200.0,Bob
2025-02-05,South,2,Beta Gadget,8,35.0,280.0,Charlie
2025-02-05,South,2,Beta Gadget,18,35.0,630.0,Diana
2025-02-05,South,2,Beta Gadget,6,35.0,210.0,Charlie
2025-02-06,West,1,Alpha Widget,12,20.0,240.0,Bob
2025-02-06,East,3,Gamma Tool,19,50.0,950.0,Alice
2025-02-06,North,2,Beta Gadget,1,35.0,35.0,Diana
2025-02-06,East,2,Beta Gadget,12,35.0,420.0,Diana
2025-02-06,North,2,Beta Gadget,15,35.0,525.0,Charlie
2025-02-07,North,1,Alpha Widget,8,20.0,160.0,Charlie
2025-02-07,West,3,Gamma Tool,13,50.0,650.0,Diana
2025-02-07,East,2,Beta Gadget,4,35.0,140.0,Charlie
2025-02-07,North,1,Alpha Widget,15,20.0,300.0,Bob
2025-02-07,North,2,Beta Gadget,19,35.0,665.0,Bob
2025-02-07,South,1,Alpha Widget,1,20.0,20.0,Alice
2025-02-07,South,1,Alpha Widget,3,20.0,60.0,Charlie
2025-02-08,West,1,Alpha Widget,17,20.0,340.0,Charlie
2025-02-08,North,2,Beta Gadget,19,35.0,665.0,Alice
2025-02-08,West,2,Beta Gadget,4,35.0,140.0,Diana
2025-02-08,West,1,Alpha Widget,19,20.0,380.0,Alice
2025-02-08,North,1,Alpha Widget,10,20.0,200.0,Diana
2025-02-08,West,3,Gamma Tool,17,50.0,850.0,Alice
2025-02-08,South,2,Beta Gadget,5,35.0,175.0,Diana
2025-02-08,South,1,Alpha Widget,7,20.0,140.0,Alice
2025-02-09,East,3,Gamma Tool,7,50.0,350.0,Charlie
2025-02-09,East,1,Alpha Widget,2,20.0,40.0,Charlie
2025-02-09,West,1,Alpha Widget,3,20.0,60.0,Diana
2025-02-09,North,3,Gamma Tool,12,50.0,600.0,Alice
2025-02-09,South,3,Gamma Tool,10,50.0,500.0,Bob
2025-02-09,West,1,Alpha Widget,2,20.0,40.0,Alice
2025-02-09,North,3,Gamma Tool,11,50.0,550.0,Alice
2025-02-10,North,1,Alpha Widget,13,20.0,260.0,Alice
2025-02-10,East,3,Gamma Tool,2,50.0,100.0,Diana
2025-02-10,West,3,Gamma Tool,19,50.0,950.0,Bob
2025-02-10,South,1,Alpha Widget,16,20.0,320.0,Charlie
2025-02-10,East,1,Alpha Widget,14,20.0,280.0,Alice
2025-02-10,North,1,Alpha Widget,11,20.0,220.0,Charlie
2025-02-11,East,1,Alpha Widget,1,20.0,20.0,Bob
2025-02-11,South,3,Gamma Tool,1,50.0,50.0,Charlie
2025-02-11,West,3,Gamma Tool,5,50.0,250.0,Bob
2025-02-11,South,1,Alpha Widget,14,20.0,280.0,Alice
2025-02-11,South,3,Gamma Tool,4,50.0,200.0,Bob
2025-02-11,South,1,Alpha Widget,11,20.0,220.0,Bob
2025-02-11,West,3,Gamma Tool,2,50.0,100.0,Alice
2025-02-11,West,2,Beta Gadget,2,35.0,70.0,Diana
2025-02-12,East,2,Beta Gadget,10,35.0,350.0,Alice
2025-02-12,West,1,Alpha Widget,18,20.0,360.0,Alice
2025-02-12,West,1,Alpha Widget,8,20.0,160.0,Bob
2025-02-12,East,1,Alpha Widget,16,20.0,320.0,Bob
2025-02-12,North,3,Gamma Tool,4,50.0,200.0,Alice
2025-02-12,South,2,Beta Gadget,8,35.0,280.0,Alice
2025-02-12,North,3,Gamma Tool,7,50.0,350.0,Charlie
2025-02-12,North,2,Beta Gadget,8,35.0,280.0,Diana
2025-02-12,South,1,Alpha Widget,3,20.0,60.0,Alice
2025-02-13,North,2,Beta Gadget,11,35.0,385.0,Diana
2025-02-13,North,1,Alpha Widget,18,20.0,360.0,Diana
2025-02-13,South,2,Beta Gadget,1,35.0,35.0,Bob
2025-02-13,South,3,Gamma Tool,14,50.0,700.0,Diana
2025-02-13,East,3,Gamma Tool,10,50.0,500.0,Diana
2025-02-13,North,1,Alpha Widget,12,20.0,240.0,Charlie
2025-02-14,South,3,Gamma Tool,9,50.0,450.0,Bob
2025-02-14,South,3,Gamma Tool,3,50.0,150.0,Charlie
2025-02-14,West,2,Beta Gadget,8,35.0,280.0,Bob
2025-02-14,West,1,Alpha Widget,2,20.0,40.0,Charlie
2025-02-14,East,2,Beta Gadget,3,35.0,105.0,Charlie
2025-02-14,East,3,Gamma Tool,17,50.0,850.0,Charlie
2025-02-14,East,1,Alpha Widget,9,20.0,180.0,Charlie
2025-02-15,East,3,Gamma Tool,1,50.0,50.0,Alice
2025-02-15,North,3,Gamma Tool,10,50.0,500.0,Diana
2025-02-15,South,1,Alpha Widget,19,20.0,380.0,Diana
2025-02-15,South,3,Gamma Tool,7,50.0,350.0,Diana
2025-02-15,North,1,Alpha Widget,5,20.0,100.0,Charlie
2025-02-15,East,3,Gamma Tool,12,50.0,600.0,Charlie
2025-02-15,West,1,Alpha Widget,15,20.0,300.0,Charlie
2025-02-16,West,3,Gamma Tool,16,50.0,800.0,Alice
2025-02-16,East,1,Alpha Widget,7,20.0,140.0,Diana
2025-02-16,North,3,Gamma Tool,17,50.0,850.0,Alice
2025-02-16,South,3,Gamma Tool,18,50.0,900.0,Alice
2025-02-16,West,3,Gamma Tool,13,50.0,650.0,Diana
2025-02-16,West,1,Alpha Widget,12,20.0,240.0,Diana
2025-02-17,North,2,Beta Gadget,10,35.0,350.0,Bob
2025-02-17,South,2,Beta Gadget,13,35.0,455.0,Bob
2025-02-17,East,2,Beta Gadget,11,35.0,385.0,Bob
2025-02-17,South,1,Alpha Widget,6,20.0,120.0,Alice
2025-02-17,North,3,Gamma Tool,14,50.0,700.0,Bob
2025-02-17,South,1,Alpha Widget,17,20.0,340.0,Alice
2025-02-17,East,2,Beta Gadget,5,35.0,175.0,Alice
2025-02-17,West,2,Beta Gadget,19,35.0,665.0,Charlie
2025-02-17,North,1,Alpha Widget,2,20.0,40.0,Diana
2025-02-18,West,3,Gamma Tool,5,50.0,250.0,Diana
2025-02-18,South,2,Beta Gadget,2,35.0,70.0,Charlie
2025-02-18,South,1,Alpha Widget,19,20.0,380.0,Alice
2025-02-18,South,1,Alpha Widget,1,20.0,20.0,Bob
2025-02-18,North,3,Gamma Tool,7,50.0,350.0,Diana
2025-02-18,West,1,Alpha Widget,4,20.0,80.0,Charlie
2025-02-18,South,1,Alpha Widget,14,20.0,280.0,Bob
2025-02-18,West,1,Alpha Widget,13,20.0,260.0,Charlie
2025-02-18,South,3,Gamma Tool,19,50.0,950.0,Alice
2025-02-19,South,1,Alpha Widget,9,20.0,180.0,Charlie
2025-02-19,West,3,Gamma Tool,15,50.0,750.0,Bob
2025-02-19,West,3,Gamma Tool,14,50.0,700.0,Diana
2025-02-19,South,1,Alpha Widget,11,20.0,220.0,Diana
2025-02-19,West,2,Beta Gadget,15,35.0,525.0,Charlie
2025-02-19,South,1,Alpha Widget,1,20.0,20.0,Bob
2025-02-19,South,3,Gamma Tool,4,50.0,200.0,Bob
2025-02-20,North,3,Gamma Tool,3,50.0,150.0,Alice
2025-02-20,East,2,Beta Gadget,6,35.0,210.0,Charlie
2025-02-20,North,1,Alpha Widget,5,20.0,100.0,Charlie
2025-02-20,East,2,Beta Gadget,2,35.0,70.0,Alice
2025-02-20,East,1,Alpha Widget,4,20.0,80.0,Bob
2025-02-20,East,2,Beta Gadget,7,35.0,245.0,Charlie
2025-02-20,South,1,Alpha Widget,6,20.0,120.0,Bob
2025-02-20,West,2,Beta Gadget,18,35.0,630.0,Bob
2025-02-21,South,3,Gamma Tool,10,50.0,500.0,Diana
2025-02-21,West,3,Gamma Tool,3,50.0,150.0,Charlie
2025-02-21,South,1,Alpha Widget,13,20.0,260.0,Diana
2025-02-21,West,2,Beta Gadget,15,35.0,525.0,Bob
2025-02-21,North,3,Gamma Tool,9,50.0,450.0,Alice
2025-02-21,South,2,Beta Gadget,5,35.0,175.0,Charlie
2025-02-21,West,1,Alpha Widget,19,20.0,380.0,Bob
2025-02-21,South,3,Gamma Tool,3,50.0,150.0,Charlie
2025-02-22,South,2,Beta Gadget,4,35.0,140.0,Bob
2025-02-22,West,3,Gamma Tool,7,50.0,350.0,Charlie
2025-02-22,South,1,Alpha Widget,3,20.0,60.0,Bob
2025-02-22,East,1,Alpha Widget,13,20.0,260.0,Alice
2025-02-22,East,1,Alpha Widget,18,20.0,360.0,Charlie
2025-02-22,East,2,Beta Gadget,18,35.0,630.0,Diana
2025-02-23,West,2,Beta Gadget,9,35.0,315.0,Diana
2025-02-23,East,3,Gamma Tool,1,50.0,50.0,Diana
2025-02-23,East,1,Alpha Widget,8,20.0,160.0,Alice
2025-02-23,North,3,Gamma Tool,12,50.0,600.0,Alice
2025-02-23,South,3,Gamma Tool,4,50.0,200.0,Charlie
2025-02-23,North,2,Beta Gadget,17,35.0,595.0,Charlie
2025-02-23,East,2,Beta Gadget,10,35.0,350.0,Alice
2025-02-23,North,2,Beta Gadget,14,35.0,490.0,Alice
2025-02-24,North,2,Beta Gadget,5,35.0,175.0,Charlie
2025-02-24,East,2,Beta Gadget,15,35.0,525.0,Charlie
2025-02-24,North,1,Alpha Widget,1,20.0,20.0,Diana
2025-02-24,West,2,Beta Gadget,9,35.0,315.0,Charlie
2025-02-24,West,3,Gamma Tool,3,50.0,150.0,Bob
2025-02-24,East,2,Beta Gadget,17,35.0,595.0,Charlie
2025-02-24,North,3,Gamma Tool,10,50.0,500.0,Bob
2025-02-25,East,3,Gamma Tool,19,50.0,950.0,Bob
2025-02-25,North,3,Gamma Tool,14,50.0,700.0,Bob
2025-02-25,East,2,Beta Gadget,5,35.0,175.0,Diana
2025-02-25,North,1,Alpha Widget,5,20.0,100.0,Alice
2025-02-25,South,1,Alpha Widget,9,20.0,180.0,Alice
2025-02-25,North,2,Beta Gadget,5,35.0,175.0,Charlie
2025-02-25,East,3,Gamma Tool,16,50.0,800.0,Charlie
2025-02-26,North,3,Gamma Tool,1,50.0,50.0,Alice
2025-02-26,South,1,Alpha Widget,11,20.0,220.0,Charlie
2025-02-26,South,1,Alpha Widget,6,20.0,120.0,Diana
2025-02-26,East,3,Gamma Tool,3,50.0,150.0,Charlie
2025-02-26,North,3,Gamma Tool,4,50.0,200.0,Diana
2025-02-26,North,2,Beta Gadget,14,35.0,490.0,Bob
2025-02-26,East,1,Alpha Widget,17,20.0,340.0,Diana
2025-02-27,North,2,Beta Gadget,14,35.0,490.0,Charlie
2025-02-27,East,2,Beta Gadget,5,35.0,175.0,Alice
2025-02-27,East,3,Gamma Tool,15,50.0,750.0,Alice
2025-02-27,North,1,Alpha Widget,16,20.0,320.0,Bob
2025-02-27,East,3,Gamma Tool,15,50.0,750.0,Alice
2025-02-27,East,2,Beta Gadget,13,35.0,455.0,Charlie
2025-02-27,West,3,Gamma Tool,3,50.0,150.0,Diana
2025-02-27,West,1,Alpha Widget,15,20.0,300.0,Bob
2025-02-28,East,1,Alpha Widget,17,20.0,340.0,Bob
2025-02-28,North,2,Beta Gadget,8,35.0,280.0,Bob
2025-02-28,East,2,Beta Gadget,8,35.0,280.0,Diana
2025-02-28,West,1,Alpha Widget,5,20.0,100.0,Bob
2025-02-28,South,1,Alpha Widget,14,20.0,280.0,Bob
2025-02-28,East,3,Gamma Tool,11,50.0,550.0,Charlie
2025-02-28,East,3,Gamma Tool,17,50.0,850.0,Diana
2025-03-01,West,1,Alpha Widget,15,20.0,300.0,Charlie
2025-03-01,East,3,Gamma Tool,19,50.0,950.0,Bob
